label,image_name,mean_R,std_R,mean_G,std_G,mean_B,std_B,mean_ExG
agricultural,agricultural_000039.png,0.6693157,0.1803985,0.6690303,0.17510167,0.62075293,0.18840796,12.237946
agricultural,agricultural_000040.png,0.64746124,0.21937114,0.6609029,0.2222217,0.66024274,0.22376294,3.5959778
agricultural,agricultural_000041.png,0.7046123,0.25792295,0.6956525,0.2537749,0.6487628,0.23956032,9.672104
agricultural,agricultural_000042.png,0.6403878,0.1780428,0.6670864,0.17851962,0.66824406,0.18140745,6.5129547
agricultural,agricultural_000043.png,0.6690625,0.35711268,0.65194637,0.35347697,0.63651,0.34781563,-0.42834473
agricultural,agricultural_000044.png,0.499143,0.34308422,0.48524815,0.33715105,0.470796,0.32865128,0.14212036
agricultural,agricultural_000045.png,0.53596157,0.2199753,0.553425,0.22635852,0.5244003,0.21559599,11.854492
agricultural,agricultural_000046.png,0.60033196,0.06735242,0.59125394,0.0693196,0.6621646,0.07259471,-20.39711
agricultural,agricultural_000047.png,0.41569903,0.16922295,0.43017483,0.17982483,0.41758016,0.16974811,6.9029694
agricultural,agricultural_000048.png,0.37218848,0.28088886,0.38924626,0.28993207,0.3574683,0.27217832,12.45311
agricultural,agricultural_000049.png,0.44941777,0.35648665,0.45453998,0.35889137,0.43950152,0.34715864,5.140976
agricultural,agricultural_000050.png,0.53481287,0.15928756,0.77785826,0.22037236,0.5562209,0.17168075,118.49408
agricultural,agricultural_000051.png,0.70353085,0.38467154,0.7150643,0.3894202,0.7064578,0.38591167,5.1356964
agricultural,agricultural_000052.png,0.44778472,0.29016683,0.53102523,0.33991203,0.55014956,0.35249567,16.34964
agricultural,agricultural_000053.png,0.55440795,0.26180482,0.6422374,0.2862764,0.6545457,0.29037073,19.257889
agricultural,agricultural_000054.png,0.5691531,0.0646761,0.6093474,0.054095477,0.65507096,0.050813142,-1.4099426
agricultural,agricultural_000055.png,0.6612796,0.13998626,0.6950116,0.14417192,0.6399209,0.13659556,22.64981
agricultural,agricultural_000056.png,0.7768869,0.1164172,0.76920104,0.111342944,0.6693961,0.1388363,23.490387
agricultural,agricultural_000057.png,0.42527437,0.34467804,0.46550137,0.37499598,0.43877676,0.35520792,17.072662
agricultural,agricultural_000058.png,0.5730348,0.16785267,0.59043586,0.16972116,0.59089494,0.17121588,4.3201904
agricultural,agricultural_000059.png,0.39733744,0.1956072,0.4647145,0.22118068,0.4421577,0.21573246,22.933136
agricultural,agricultural_000060.png,0.6406139,0.32944638,0.64209497,0.32983842,0.6429576,0.32975584,0.15769958
agricultural,agricultural_000061.png,0.53637123,0.19869791,0.54960805,0.20580249,0.59385556,0.22224587,-7.907715
agricultural,agricultural_000062.png,0.7052639,0.05309535,0.73784256,0.04695369,0.68406886,0.05642406,22.019852
agricultural,agricultural_000063.png,0.75350946,0.05581327,0.74154407,0.051601056,0.7243948,0.05960256,1.3218842
agricultural,agricultural_000064.png,0.7089121,0.10493325,0.72646785,0.11139443,0.73210627,0.094391,3.03891
agricultural,agricultural_000065.png,0.6545797,0.09456031,0.6675998,0.091701575,0.6662534,0.095248744,3.6634674
agricultural,agricultural_000066.png,0.5144735,0.27527416,0.5789217,0.30141824,0.58975285,0.30627203,13.672348
agricultural,agricultural_000067.png,0.52105176,0.089960136,0.51591074,0.09009286,0.54035765,0.0942247,-7.544922
agricultural,agricultural_000068.png,0.436559,0.18139493,0.46494788,0.18674281,0.4403864,0.18228498,13.502335
agricultural,agricultural_000069.png,0.46128318,0.19813226,0.5681217,0.23682523,0.49139166,0.20415166,46.809982
agricultural,agricultural_000070.png,0.55721015,0.27856526,0.5785193,0.28971082,0.583899,0.28744328,4.061981
agricultural,agricultural_000071.png,0.4551376,0.12060474,0.5188664,0.14453875,0.550823,0.14457124,8.101944
agricultural,agricultural_000072.png,0.786344,0.10796191,0.8147545,0.093238324,0.75578135,0.11125351,22.282822
agricultural,agricultural_000073.png,0.64124674,0.30340552,0.62059075,0.29288232,0.6090143,0.28806418,-2.315277
agricultural,agricultural_000074.png,0.7374884,0.14817135,0.7420476,0.14627787,0.7246948,0.14253488,5.58757
agricultural,agricultural_000075.png,0.62038153,0.25195888,0.6248611,0.25398996,0.61755353,0.25095358,3.005722
agricultural,agricultural_000076.png,0.8099134,0.051895373,0.81820613,0.04638611,0.7921533,0.051884975,8.758118
agricultural,agricultural_000077.png,0.53073347,0.2878981,0.7086805,0.38317376,0.4617772,0.25112247,108.33684
agricultural,agricultural_000078.png,0.7374724,0.070813626,0.72055435,0.06552449,0.6836242,0.08121582,5.1030884
agricultural,agricultural_000079.png,0.6061838,0.40082645,0.62556833,0.40822953,0.58295417,0.3894917,15.809662
agricultural,agricultural_000080.png,0.59673,0.0759585,0.6289916,0.06667056,0.66775936,0.063753605,-1.6590881
agricultural,agricultural_000081.png,0.6008796,0.16334881,0.60859644,0.15676324,0.68737006,0.15499805,-18.119492
agricultural,agricultural_000082.png,0.48928905,0.21327065,0.46293256,0.19928019,0.3642772,0.15735689,18.436218
agricultural,agricultural_000083.png,0.6519728,0.31121102,0.70086455,0.33207348,0.64320076,0.30711174,27.171677
agricultural,agricultural_000084.png,0.7033084,0.37161523,0.73505116,0.3885998,0.6622628,0.35195595,26.655441
agricultural,agricultural_000085.png,0.49251726,0.20643654,0.6224462,0.25736338,0.57732266,0.23742075,44.63835
agricultural,agricultural_000086.png,0.7451734,0.13017677,0.7496477,0.12448991,0.72921926,0.12043599,6.350189
agricultural,agricultural_000087.png,0.687648,0.23046681,0.803032,0.26250955,0.537644,0.17947556,97.09683
agricultural,agricultural_000088.png,0.67388594,0.056636605,0.74312776,0.0780192,0.7067395,0.0654045,26.935669
agricultural,agricultural_000089.png,0.77831286,0.17311043,0.76158226,0.1691511,0.74243474,0.1654117,0.61631775
agricultural,agricultural_000090.png,0.6903034,0.07925715,0.69218934,0.07736797,0.693687,0.07355288,0.09901428
agricultural,agricultural_000091.png,0.7009426,0.28747118,0.6811362,0.28028747,0.7596313,0.30797476,-25.06688
agricultural,agricultural_000092.png,0.75262463,0.16047378,0.79732287,0.17330338,0.70630926,0.15446693,34.606537
agricultural,agricultural_000093.png,0.49145484,0.26541302,0.38042447,0.20609123,0.4864987,0.2612447,-55.36168
agricultural,agricultural_000094.png,0.41495672,0.19944757,0.4235688,0.20781237,0.41784918,0.20023261,3.6545715
agricultural,agricultural_000095.png,0.38015562,0.05492749,0.40370968,0.05529369,0.3478368,0.04902368,20.253876
agricultural,agricultural_000096.png,0.48737913,0.12905519,0.573271,0.14563388,0.64122814,0.175768,4.573349
agricultural,agricultural_000097.png,0.5299878,0.247619,0.5475108,0.25513703,0.52886444,0.24678478,9.223175
agricultural,agricultural_000098.png,0.59352463,0.28933915,0.6014527,0.2929915,0.59547526,0.2900959,3.5458984
agricultural,agricultural_000099.png,0.6249655,0.12346992,0.7078268,0.13444453,0.6358838,0.12752204,39.475098
agricultural,agricultural_000100.png,0.45643598,0.22159722,0.49493152,0.23883377,0.46141544,0.2229702,18.36296
agricultural,agricultural_000101.png,0.58635503,0.17964128,0.65167993,0.19209984,0.5732836,0.18371879,36.648926
agricultural,agricultural_000102.png,0.39144066,0.25354362,0.4357164,0.28054017,0.44356966,0.2779463,9.287735
agricultural,agricultural_000103.png,0.80947405,0.2523112,0.80181473,0.25035036,0.79936767,0.24942842,-1.3291321
agricultural,agricultural_000104.png,0.619543,0.17189091,0.6319744,0.18350501,0.6239027,0.1719575,5.2282867
agricultural,agricultural_000105.png,0.76272184,0.05181222,0.81148714,0.0577712,0.7433935,0.056700356,29.799026
agricultural,agricultural_000106.png,0.8748476,0.30403632,0.86974925,0.30259877,0.85964423,0.29976794,1.2767029
agricultural,agricultural_000107.png,0.576412,0.12677963,0.6279084,0.13070346,0.5826607,0.12306803,24.669739
agricultural,agricultural_000108.png,0.39856118,0.19848163,0.3963623,0.19526091,0.38325173,0.18762103,2.782486
agricultural,agricultural_000109.png,0.3413591,0.21286236,0.48609176,0.29368243,0.44958383,0.2741912,46.216354
agricultural,agricultural_000110.png,0.57355386,0.22474211,0.6271223,0.2391682,0.64212614,0.24409598,9.833954
agricultural,agricultural_000111.png,0.9562432,0.06360599,0.7514419,0.066993594,0.841881,0.07132782,-75.286285
agricultural,agricultural_000112.png,0.553368,0.33796936,0.63399667,0.37303743,0.6446425,0.37823597,17.845627
agricultural,agricultural_000113.png,0.54794663,0.2825494,0.5096885,0.25985113,0.44623873,0.2288961,6.4238586
agricultural,agricultural_000114.png,0.74232715,0.07761945,0.7547477,0.07789173,0.7025883,0.096788496,16.46788
agricultural,agricultural_000115.png,0.3767908,0.20306857,0.37111613,0.20038472,0.4191198,0.22565804,-13.687973
agricultural,agricultural_000116.png,0.64214575,0.22982861,0.6643415,0.2372316,0.63263005,0.22696055,13.746353
agricultural,agricultural_000117.png,0.6087314,0.3384437,0.5967626,0.3320478,0.50812256,0.28772056,19.551178
agricultural,agricultural_000118.png,0.6641585,0.10376396,0.6476819,0.1021837,0.71597004,0.1050432,-21.615005
agricultural,agricultural_000119.png,0.6476056,0.3192173,0.6739124,0.33112076,0.6290831,0.31045738,18.139694
agricultural,agricultural_000120.png,0.6004412,0.4203973,0.5957208,0.41685936,0.55963534,0.3922481,7.998108
agricultural,agricultural_000121.png,0.776205,0.10487168,0.7779516,0.10343318,0.69323415,0.13186733,22.048325
agricultural,agricultural_000122.png,0.5381865,0.33514833,0.5540121,0.34777573,0.584701,0.34459049,-3.7901306
agricultural,agricultural_000123.png,0.6472315,0.15051489,0.766503,0.13473316,0.7063109,0.1564022,45.763184
agricultural,agricultural_000124.png,0.48927864,0.24607997,0.52342695,0.2604321,0.56083095,0.2776261,-0.83018494
agricultural,agricultural_000125.png,0.42829195,0.074806355,0.44352353,0.074794784,0.41610956,0.07029561,10.874603
agricultural,agricultural_000126.png,0.34532586,0.19176023,0.3659042,0.1994605,0.34733212,0.19265111,9.983368
agricultural,agricultural_000127.png,0.6306623,0.18074834,0.64719814,0.18948576,0.6719437,0.17475055,-2.0934906
agricultural,agricultural_000128.png,0.5887007,0.22615069,0.66926605,0.25460118,0.60003185,0.23196936,38.198883
agricultural,agricultural_000129.png,0.5822588,0.09814537,0.44294283,0.077836685,0.4651098,0.07947435,-41.178146
agricultural,agricultural_000130.png,0.3944631,0.11815198,0.42896903,0.10450103,0.3916376,0.10877774,18.318527
agricultural,agricultural_000131.png,0.57635754,0.14957489,0.6044921,0.15298225,0.5784173,0.14133741,13.823395
agricultural,agricultural_000132.png,0.3208645,0.21803589,0.40455064,0.2643318,0.42623985,0.27871507,15.809219
agricultural,agricultural_000133.png,0.80980694,0.13615222,0.77645683,0.12980221,0.71827817,0.14114046,6.3312836
agricultural,agricultural_000134.png,0.44743586,0.19439666,0.46051264,0.20080249,0.46248102,0.19954354,2.8326416
agricultural,agricultural_000135.png,0.62313205,0.10818471,0.6769327,0.10826454,0.6085617,0.115380354,31.153793
agricultural,agricultural_000136.png,0.34609303,0.23128873,0.35725397,0.23505694,0.35465783,0.23422754,3.5080566
agricultural,agricultural_000137.png,0.7643471,0.21213268,0.74984574,0.20888883,0.6364949,0.19373843,25.20662
agricultural,agricultural_000138.png,0.6763268,0.44719878,0.63508123,0.4209855,0.5599986,0.3745809,8.6284485
agricultural,agricultural_000139.png,0.728054,0.08321366,0.7501722,0.079788394,0.70697576,0.08432012,16.655243
agricultural,agricultural_000140.png,0.7488155,0.09370488,0.7614848,0.09226622,0.76761574,0.09347093,1.6672668
agricultural,agricultural_000141.png,0.6361969,0.3460771,0.65003496,0.349724,0.66220075,0.3538271,0.42642212
agricultural,agricultural_000142.png,0.45138136,0.21844625,0.4694329,0.22673492,0.5048421,0.24302223,-4.4262238
agricultural,agricultural_000143.png,0.8523458,0.12674601,0.91543365,0.12014555,0.8592723,0.12421577,30.408524
agricultural,agricultural_000144.png,0.6807233,0.26273587,0.7124291,0.27379203,0.6470867,0.24896024,24.747284
agricultural,agricultural_000145.png,0.5250873,0.16584295,0.6195156,0.19071525,0.6422104,0.19968644,18.292023
agricultural,agricultural_000146.png,0.552286,0.041245464,0.63822913,0.06949248,0.59735596,0.05785541,32.33815
agricultural,agricultural_000147.png,0.45531747,0.10788174,0.5029904,0.105021074,0.354013,0.091006525,50.145844
agricultural,agricultural_000148.png,0.23070069,0.17973204,0.3728214,0.28073516,0.35077938,0.26679435,41.861496
agricultural,agricultural_000149.png,0.62197286,0.23206516,0.6467941,0.24078488,0.61113936,0.2289551,15.421387
agricultural,agricultural_000150.png,0.6552996,0.12671049,0.6796014,0.12982565,0.72853047,0.13849694,-6.279953
agricultural,agricultural_000151.png,0.4986596,0.36491546,0.5195536,0.37524596,0.477695,0.35310125,16.001923
agricultural,agricultural_000152.png,0.56104624,0.24922805,0.5824198,0.25939575,0.58529997,0.25645033,4.7158356
agricultural,agricultural_000153.png,0.57105726,0.22897196,0.57360816,0.1926492,0.5930985,0.17905489,-4.319565
agricultural,agricultural_000154.png,0.39702448,0.32153958,0.40710098,0.33170786,0.42932877,0.33873653,-3.098587
agricultural,agricultural_000155.png,0.44309333,0.19006746,0.42145547,0.18309721,0.43355468,0.18383384,-8.602951
agricultural,agricultural_000156.png,0.5322848,0.4196337,0.568606,0.4423123,0.5165562,0.41009533,22.534622
agricultural,agricultural_000157.png,0.6167727,0.17642593,0.68679667,0.19157124,0.63126713,0.18228963,32.016144
agricultural,agricultural_000158.png,0.75888705,0.070538774,0.7715966,0.06494896,0.7247282,0.07313241,15.192383
agricultural,agricultural_000159.png,0.48210552,0.083553806,0.5189347,0.0792256,0.42786053,0.0797104,32.61537
agricultural,agricultural_000160.png,0.37194255,0.14517039,0.3840085,0.14877702,0.37141514,0.14507085,6.2881165
agricultural,agricultural_000161.png,0.39691707,0.18539993,0.41550234,0.19251494,0.44139954,0.20388174,-1.8645477
agricultural,agricultural_000162.png,0.6505491,0.3539614,0.7103978,0.37235487,0.6463601,0.35362157,31.591003
agricultural,agricultural_000163.png,0.57786685,0.1682362,0.59282786,0.16972965,0.5893092,0.16063724,4.7122955
agricultural,agricultural_000164.png,0.44173032,0.22496378,0.4526634,0.23465872,0.45173478,0.23137265,3.0247345
agricultural,agricultural_000165.png,0.546592,0.36991945,0.6132211,0.40924004,0.56481975,0.3819713,29.332764
agricultural,agricultural_000166.png,0.46736377,0.22685328,0.48725387,0.23409244,0.48582804,0.23326151,5.435562
agricultural,agricultural_000167.png,0.69860804,0.09355264,0.74038637,0.081274,0.67752665,0.09653967,26.682693
agricultural,agricultural_000168.png,0.63713586,0.08092058,0.70043343,0.059630357,0.71828675,0.056897644,11.588272
agricultural,agricultural_000169.png,0.74553,0.2267478,0.75890225,0.22945379,0.7636651,0.23121251,2.1954193
agricultural,agricultural_000170.png,0.37416315,0.073658936,0.5251403,0.06337807,0.50166667,0.07959661,44.484924
agricultural,agricultural_000171.png,0.7384497,0.046202905,0.7612526,0.04159086,0.7266485,0.04921653,14.638794
agricultural,agricultural_000172.png,0.8148998,0.26834336,0.8206632,0.26953816,0.7228353,0.2651595,26.415787
agricultural,agricultural_000173.png,0.5086361,0.09623523,0.50634044,0.09003153,0.48586598,0.08390446,4.6355743
agricultural,agricultural_000174.png,0.6489561,0.27260014,0.6622572,0.275421,0.6795261,0.282129,-1.0118103
agricultural,agricultural_000175.png,0.67301685,0.051087193,0.7021689,0.059790317,0.64036185,0.05466214,23.19458
agricultural,agricultural_000176.png,0.26570806,0.11836371,0.28073013,0.122037336,0.26859304,0.119031295,6.925583
agricultural,agricultural_000177.png,0.5186408,0.08208512,0.53517365,0.088766895,0.5877776,0.09177841,-9.19812
agricultural,agricultural_000178.png,0.44351017,0.3408191,0.4690629,0.36045495,0.43992436,0.33958775,13.946274
agricultural,agricultural_000179.png,0.66812575,0.30964962,0.69020635,0.31546566,0.6408335,0.30041724,18.220642
agricultural,agricultural_000180.png,0.6176297,0.1768304,0.6871802,0.14394507,0.64835054,0.17006788,27.636948
agricultural,agricultural_000181.png,0.47063163,0.26994815,0.47804943,0.27251333,0.4653899,0.26488316,5.1197205
agricultural,agricultural_000182.png,0.8085169,0.17084153,0.7777735,0.16309041,0.72239023,0.16656521,6.2831726
agricultural,agricultural_000183.png,0.3918713,0.2257287,0.45164064,0.26378754,0.32185,0.18533671,48.3378
agricultural,agricultural_000184.png,0.53605855,0.24414499,0.5439456,0.24167451,0.6200289,0.26067317,-17.390045
agricultural,agricultural_000185.png,0.2541201,0.12346811,0.27820805,0.112609215,0.24764237,0.109088086,13.936676
agricultural,agricultural_000186.png,0.665367,0.42574227,0.64916605,0.4167246,0.61301845,0.39855045,5.08638
agricultural,agricultural_000187.png,0.7002927,0.069882914,0.74867165,0.061683852,0.68719137,0.07024269,28.0141
agricultural,agricultural_000188.png,0.51860887,0.12910317,0.74680674,0.18459998,0.5469963,0.13439304,109.14212
agricultural,agricultural_000189.png,0.69108903,0.3974811,0.736008,0.41601062,0.64898473,0.38022572,33.645264
agricultural,agricultural_000190.png,0.866231,0.063182995,0.80767184,0.054810617,0.74939084,0.05141287,-0.07095337
agricultural,agricultural_000191.png,0.6972652,0.11484965,0.6806494,0.12644045,0.66263235,0.12854765,0.35731506
agricultural,agricultural_000192.png,0.656348,0.4117274,0.6499202,0.40793929,0.6326647,0.39787564,2.761078
agricultural,agricultural_000193.png,0.37632585,0.09358974,0.41073912,0.093817994,0.33130404,0.08891206,29.031342
agricultural,agricultural_000194.png,0.44458744,0.30956474,0.47459838,0.3273123,0.43149796,0.30123606,18.643387
agricultural,agricultural_000195.png,0.47312436,0.38293615,0.4699209,0.3797946,0.41674435,0.34266067,12.743149
agricultural,agricultural_000196.png,0.42566714,0.18845755,0.49721104,0.2000673,0.51041996,0.18321958,14.875427
agricultural,agricultural_000197.png,0.39814436,0.16470662,0.40752,0.17368405,0.40082163,0.16508225,4.098877
agricultural,agricultural_000198.png,0.5268653,0.35182014,0.54619914,0.36196214,0.54651535,0.36293036,4.8494873
agricultural,agricultural_000199.png,0.8266145,0.21678892,0.55510074,0.14553818,0.5168298,0.13568169,-59.476913
agricultural,agricultural_000200.png,0.7117484,0.1616901,0.7658554,0.16846022,0.67214483,0.15688671,37.693466
agricultural,agricultural_000201.png,0.32675627,0.1747247,0.35081086,0.18675639,0.32517114,0.17231321,12.672058
agricultural,agricultural_000202.png,0.36527967,0.09953826,0.37956986,0.08791049,0.3542201,0.09469721,10.108185
agricultural,agricultural_000203.png,0.40063363,0.0904297,0.4212371,0.08486989,0.4040528,0.09687844,9.635895
agricultural,agricultural_000204.png,0.51192313,0.14036526,0.56209123,0.15653904,0.5359983,0.14821266,19.446564
agricultural,agricultural_000205.png,0.62632143,0.33972868,0.480795,0.25761908,0.5892612,0.32108474,-64.76811
agricultural,agricultural_000206.png,0.4500426,0.28138447,0.44790787,0.27883515,0.42092675,0.2634502,6.3358307
agricultural,agricultural_000207.png,0.49921206,0.2071565,0.5125521,0.21211359,0.48652032,0.19924386,10.039795
agricultural,agricultural_000208.png,0.34235522,0.1789934,0.52567226,0.26943383,0.47369337,0.2411547,60.000473
agricultural,agricultural_000209.png,0.6897131,0.11992763,0.74812144,0.10158964,0.69357884,0.12481543,28.802475
agricultural,agricultural_000210.png,0.62560236,0.21717222,0.7353947,0.2539756,0.58755493,0.21011943,65.69618
agricultural,agricultural_000211.png,0.59894973,0.07977933,0.62031037,0.08575823,0.62417585,0.07055278,4.461258
agricultural,agricultural_000212.png,0.48782015,0.1500114,0.604811,0.1554735,0.5884023,0.1720288,34.016907
agricultural,agricultural_000213.png,0.5625943,0.26941675,0.5950606,0.28307703,0.5483513,0.26285312,20.189774
agricultural,agricultural_000214.png,0.76390994,0.16026849,0.84631705,0.13975117,0.7527461,0.1698719,44.87442
agricultural,agricultural_000215.png,0.54887813,0.11179561,0.5546946,0.102920234,0.6097053,0.0850207,-12.544525
agricultural,agricultural_000216.png,0.39816344,0.30003235,0.40928835,0.2960205,0.42305034,0.29092976,-0.67245483
agricultural,agricultural_000217.png,0.47950584,0.2544547,0.4721758,0.2510974,0.53909516,0.28567678,-18.933594
agricultural,agricultural_000218.png,0.33357388,0.20180178,0.33798128,0.2036162,0.3600832,0.21859501,-4.5121
agricultural,agricultural_000219.png,0.40479347,0.30810532,0.4331167,0.32885686,0.3890553,0.29668486,18.458084
agricultural,agricultural_000220.png,0.718121,0.065506294,0.76120913,0.062099144,0.723444,0.0760737,20.617584
agricultural,agricultural_000221.png,0.7040478,0.12854703,0.7228219,0.111971036,0.6726262,0.12912102,17.58728
agricultural,agricultural_000222.png,0.70511734,0.124406695,0.6892588,0.12726142,0.5899158,0.12608996,21.288559
agricultural,agricultural_000223.png,0.6413367,0.13982941,0.6829573,0.14521916,0.6588934,0.14382656,16.749557
agricultural,agricultural_000224.png,0.4262347,0.2445069,0.44289318,0.23677684,0.46209842,0.22540443,-0.6494293
agricultural,agricultural_000225.png,0.8723515,0.23085754,0.87502944,0.23097949,0.8776555,0.23072398,0.013214111
agricultural,agricultural_000226.png,0.6371574,0.14203109,0.627524,0.14193287,0.6664399,0.14859821,-12.380035
agricultural,agricultural_000227.png,0.43242636,0.23555739,0.4443008,0.24175838,0.43259707,0.23552041,6.012436
agricultural,agricultural_000228.png,0.7366077,0.29125655,0.751199,0.29769215,0.7621084,0.29907003,0.93888855
agricultural,agricultural_000229.png,0.24063624,0.14712283,0.2815028,0.15120463,0.19498824,0.11003898,32.482193
agricultural,agricultural_000230.png,0.670609,0.26983887,0.6980003,0.2801868,0.63911426,0.25575987,22.000732
agricultural,agricultural_000231.png,0.64388114,0.34658083,0.5414884,0.29471794,0.62553966,0.34175414,-47.54323
agricultural,agricultural_000232.png,0.6177495,0.37566164,0.6304326,0.38376108,0.6401484,0.3879375,0.7566681
agricultural,agricultural_000233.png,0.5249976,0.2102408,0.5396646,0.20252368,0.558144,0.18177094,-0.9721222
agricultural,agricultural_000234.png,0.56198967,0.32006505,0.59152114,0.33793867,0.59440047,0.33977368,6.7963104
agricultural,agricultural_000235.png,0.59871346,0.32553878,0.60222775,0.32724494,0.5270614,0.3015805,20.063538
agricultural,agricultural_000236.png,0.68829685,0.3232382,0.7241465,0.33928394,0.72692174,0.3405426,8.43396
agricultural,agricultural_000237.png,0.5525713,0.3252321,0.53564614,0.31724408,0.52739525,0.31310737,-2.2119446
agricultural,agricultural_000238.png,0.55671495,0.18700868,0.5736255,0.19170429,0.5420946,0.18299104,12.352585
agricultural,agricultural_000239.png,0.7118385,0.44130576,0.7098621,0.44037262,0.6731552,0.42038485,8.856277
agricultural,agricultural_000240.png,0.5401211,0.41190177,0.5471668,0.41564256,0.50138456,0.3833471,13.471146
agricultural,agricultural_000241.png,0.36951777,0.20790863,0.39471644,0.2210966,0.32422903,0.1837006,24.399948
agricultural,agricultural_000242.png,0.6517275,0.08062546,0.64282745,0.08419601,0.67990476,0.08483678,-11.724213
agricultural,agricultural_000243.png,0.71164805,0.39167896,0.7522589,0.40270007,0.70703584,0.3905102,21.88765
agricultural,agricultural_000244.png,0.5726143,0.32056957,0.5537957,0.31072187,0.6328417,0.35103858,-24.95549
agricultural,agricultural_000245.png,0.33785543,0.23958854,0.4064477,0.2784318,0.38557297,0.27043453,22.814087
agricultural,agricultural_000246.png,0.43303528,0.2593781,0.4466512,0.26603833,0.43007255,0.25692755,7.6996155
agricultural,agricultural_000247.png,0.6463736,0.22002843,0.6558666,0.21509804,0.7408335,0.22259325,-19.24585
